% x start,y start,x end,y end,x-velocity end,y-velocity end,Time start,Time end,Length
0.47483915,0.03221693,0.487172985,0.03285029,122.4010009,6.081835132,0.0099,0.01,0.012350091
0.55628315,0.08057467,0.568060769,0.081278337,117.4703837,6.60250525,0.0099,0.01,0.011798645
0.28379593,0.12535407,0.29932447,0.12368971,160.1727951,-12.96264931,0.0099,0.01,0.015619045
0.48857915,0.11492364,0.500607468,0.11621824,119.4853828,11.48169167,0.0099,0.01,0.01209804
0.46742856,0.18053933,0.464727963,0.18056842,-29.40051018,2.929726729,0.0099,0.01,0.002704753
0.27281675,0.20536866,0.268873374,0.20507793,-36.02820619,-5.903420823,0.0099,0.01,0.003958359
0.35304475,0.23290426,0.350634622,0.235252885,-22.18317014,24.89661168,0.0099,0.01,0.003367938
0.37452004,0.14321374,0.383713449,0.147551673,84.74762029,46.52226274,0.0099,0.01,0.010171191
0.38448537,0.18345622,0.373660428,0.187231158,-114.5186417,38.47732187,0.0099,0.01,0.011464551
0.3944019,0.19401113,0.382118187,0.197191524,-126.2690736,34.66317436,0.0099,0.01,0.012689222
0.31930478,0.11945946,0.33633645,0.120175901,169.7007184,13.52239561,0.0099,0.01,0.017050699
0.41038471,0.19031496,0.399668748,0.19320681,-113.6334842,32.97625207,0.0099,0.01,0.011100108
0.42053906,0.14684922,0.428027874,0.15097741,68.24272744,40.97182542,0.0099,0.01,0.008553262
0.5525577,0.22952873,0.560852501,0.227271922,82.97026686,-21.93507276,0.0099,0.01,0.008596411
0.5814347,0.28100779,0.591187514,0.279759244,97.32869809,-11.95316645,0.0099,0.01,0.009832456
0.28523938,0.06595477,0.300725274,0.065473362,155.6844623,-3.135432765,0.0099,0.01,0.015493666
0.3898276,0.19305151,0.377340724,0.196410624,-128.6121492,35.79818088,0.0099,0.01,0.012931135
0.48665092,0.13886524,0.496681445,0.140003647,99.73720564,9.685718187,0.0099,0.01,0.010095373
0.25927407,0.10895983,0.275622137,0.106982592,166.1745229,-18.00254926,0.0099,0.01,0.016467589
0.53390376,0.01644926,0.545619797,0.016595174,116.4339319,1.425051295,0.0099,0.01,0.011716945
0.57846971,0.14808332,0.589501556,0.148925806,110.6566252,8.171420123,0.0099,0.01,0.01106398
0.31410098,0.13555125,0.326612214,0.135469903,127.2810432,4.848523081,0.0099,0.01,0.012515646
0.40451367,0.03270455,0.418040726,0.033401235,133.731645,7.2211865,0.0099,0.01,0.013544999
0.55315885,0.35799238,0.563873209,0.357290614,106.4341632,-6.777811694,0.0099,0.01,0.010737322
0.27088983,0.30935628,0.286596375,0.311683666,159.6575939,22.73616171,0.0099,0.01,0.015878123
0.56692921,0.3728431,0.577477322,0.372508236,104.8862752,-3.22621072,0.0099,0.01,0.010553427
0.48832494,0.03543563,0.50051866,0.0360412,121.0655482,5.683315161,0.0099,0.01,0.012208761
0.55248847,0.11425934,0.564625855,0.115151114,121.1806036,8.331522368,0.0099,0.01,0.012170146
0.27212917,0.29596674,0.288148114,0.298852656,163.2687699,28.38129316,0.0099,0.01,0.016276896
0.39623682,0.29162511,0.413359349,0.287952852,166.5753959,-41.30649973,0.0099,0.01,0.017514824
0.31774639,0.04382818,0.332748532,0.043986959,149.8075697,2.713006206,0.0099,0.01,0.015003121
0.35786215,0.36118087,0.373724526,0.36087021,158.3069503,-4.403713923,0.0099,0.01,0.01586559
0.51322136,0.27585946,0.5239325,0.2721861,105.7283392,-35.8074442,0.0099,0.01,0.011323551
0.48932807,0.3261591,0.501590868,0.323706881,120.9793326,-24.27893249,0.0099,0.01,0.012505586
0.57030889,0.21735659,0.5779617,0.215875479,76.62840763,-14.64550679,0.0099,0.01,0.007794834
0.28051464,0.15284594,0.285456988,0.149433865,56.96970001,-32.77509339,0.0099,0.01,0.006013204
0.49109954,0.22931472,0.497726016,0.224323657,63.78241747,-48.06977532,0.0099,0.01,0.008295837
0.45891864,0.10559836,0.471414696,0.107423127,123.2252301,16.88748796,0.0099,0.01,0.012628756
0.27845758,0.16929687,0.278376174,0.165008735,6.105454353,-43.55851138,0.0099,0.01,0.004305842
0.34405174,0.09437142,0.360595913,0.095884834,163.57879,18.66486588,0.0099,0.01,0.016614678
0.58332207,0.29177574,0.593173341,0.290636769,98.20094443,-10.92138877,0.0099,0.01,0.009916923
0.53534883,0.36060671,0.546453733,0.359798805,110.1841053,-7.846116264,0.0099,0.01,0.011134256
0.45787384,0.13005496,0.468678283,0.132143433,106.0932548,19.01591677,0.0099,0.01,0.011004701
0.55091475,0.25427445,0.560314235,0.251870674,93.72831235,-23.2593613,0.0099,0.01,0.009702061
0.35925595,0.26602848,0.371171859,0.26580894,118.9704464,-6.719997696,0.0099,0.01,0.011920988
0.4034339,0.1156941,0.416991995,0.119127933,130.7971579,34.63912826,0.0099,0.01,0.013986529
0.53545802,0.11724837,0.547560374,0.118144616,120.9082665,8.221084542,0.0099,0.01,0.012135579
0.55939049,0.1608786,0.568420197,0.161106644,90.53488149,1.724953576,0.0099,0.01,0.009032672
0.44533897,0.32604875,0.459533087,0.323184557,139.7132074,-29.30328639,0.0099,0.01,0.014480368
0.35478781,0.16575159,0.353151267,0.168779742,-21.09167499,30.28332278,0.0099,0.01,0.003450699
0.43299282,0.09216406,0.44621264,0.094215483,129.9594935,19.97382777,0.0099,0.01,0.013378044
0.27042976,0.39096929,0.28507431,0.391136986,147.8828618,1.578385282,0.0099,0.01,0.014645511
0.39838061,0.25802173,0.408271933,0.254593961,93.36053682,-35.74337395,0.0099,0.01,0.010470107
0.48760834,0.2550314,0.497596811,0.249588656,97.08516488,-53.24202792,0.0099,0.01,0.011375135
0.31923272,0.05412774,0.33449187,0.05435585,152.3332036,3.765753621,0.0099,0.01,0.015261103
0.54678208,0.33797698,0.557509532,0.336798448,106.5441957,-11.47561115,0.0099,0.01,0.010792005
0.55963489,0.05260869,0.571169049,0.053070059,114.8784368,4.325770726,0.0099,0.01,0.011543394
0.46586312,0.09070603,0.478437553,0.09220083,124.2729855,13.9362096,0.0099,0.01,0.012663054
0.4544937,0.39650973,0.466744855,0.396105278,119.2588623,-3.787932187,0.0099,0.01,0.012257835
0.42977154,0.00415437,0.442658492,0.004316888,127.297745,1.774145128,0.0099,0.01,0.01288798
0.26810811,0.11019787,0.284783328,0.108362077,169.959316,-15.9999867,0.0099,0.01,0.016776572
0.47570753,0.26233551,0.486663361,0.256545606,105.7595579,-56.84680529,0.0099,0.01,0.012391798
0.28590057,0.37990995,0.300860822,0.380255437,150.925901,3.180878277,0.0099,0.01,0.014964252
0.46531585,0.15528373,0.47114464,0.156799898,56.7405063,13.8947142,0.0099,0.01,0.00602295
0.47815888,0.08233807,0.490551153,0.08355825,122.837217,11.33424082,0.0099,0.01,0.012452268
0.43870658,0.1400874,0.44788995,0.143120434,87.43422675,28.52891943,0.0099,0.01,0.009671293
0.5821494,0.3630579,0.592419354,0.362664003,102.2245034,-3.778180008,0.0099,0.01,0.010277508
0.59082306,0.28831098,0.600601622,0.287318908,97.60523197,-9.448991823,0.0099,0.01,0.009828795
0.26416897,0.0589315,0.279172104,0.058187191,151.3226974,-6.303872024,0.0099,0.01,0.015021733
0.3795803,0.37832669,0.394830467,0.377921223,151.6311758,-4.742491123,0.0099,0.01,0.015255612
0.45134457,0.27133568,0.464104374,0.265241356,122.0621279,-61.21295748,0.0099,0.01,0.014141427
0.30368417,0.09933259,0.32084186,0.0990924,172.769654,1.818551031,0.0099,0.01,0.017160907
0.31044334,0.12505996,0.326234683,0.125024448,159.4478706,5.851398558,0.0099,0.01,0.015795094
0.38950398,0.18713848,0.377641351,0.190820512,-123.4999939,38.05386453,0.0099,0.01,0.012420936
0.46347548,0.16049848,0.467380568,0.161954282,37.26168888,13.7653154,0.0099,0.01,0.004167625
0.53979057,0.04633256,0.551476493,0.046789183,116.2619044,4.24123574,0.0099,0.01,0.011694853
0.55631783,0.1959462,0.56167832,0.19429725,54.2033897,-16.52765478,0.0099,0.01,0.005608379
0.57027226,0.15580835,0.580411487,0.156380932,101.6613694,5.262203583,0.0099,0.01,0.010155435
0.3704985,0.10067887,0.386179693,0.103242226,153.3659371,28.16242023,0.0099,0.01,0.015890485
0.49784883,0.30401413,0.50963825,0.300838593,116.2563892,-31.36692447,0.0099,0.01,0.012209606
0.56122919,0.13198618,0.573049434,0.132880039,118.099384,8.432652944,0.0099,0.01,0.011854028
0.52378409,0.35916653,0.535165118,0.358214656,112.8023712,-9.266003915,0.0099,0.01,0.011420768
0.59584103,0.2164958,0.603399566,0.215682588,75.67268759,-8.22960789,0.0099,0.01,0.007602159
0.36756604,0.23685575,0.367407592,0.237589373,-2.983683124,8.729164605,0.0099,0.01,7.53E-04
0.25518474,0.133558,0.268075101,0.131258737,132.7183021,-23.40810654,0.0099,0.01,0.013093821
0.28062321,0.15889278,0.283768346,0.155011661,38.78008002,-37.74179504,0.0099,0.01,0.005009017
0.56939937,0.28069025,0.579227335,0.27912092,97.98884212,-15.08022581,0.0099,0.01,0.009952531
0.31960972,0.03729075,0.334479115,0.037448156,148.4999487,2.525015159,0.0099,0.01,0.014870327
0.30476016,0.17288378,0.302126569,0.170503783,-18.26715657,-27.46111657,0.0099,0.01,0.003582012
0.3015897,0.27620096,0.314775625,0.27932642,138.733765,29.9114636,0.0099,0.01,0.013552158
0.46425347,0.21641426,0.466305306,0.211943906,15.45631234,-41.40159727,0.0099,0.01,0.004922391
0.5854505,0.03709085,0.596655439,0.037366323,111.6759523,2.607391239,0.0099,0.01,0.011208328
0.44844133,0.1806225,0.443863669,0.182082287,-50.36339721,17.97036303,0.0099,0.01,0.004806053
0.36627463,0.07499542,0.381368671,0.076474049,148.9285878,16.5728303,0.0099,0.01,0.015166701
0.46639785,0.35897352,0.479506494,0.357514772,129.6173428,-14.58172254,0.0099,0.01,0.013189564
0.36625258,0.19099594,0.353405262,0.194539004,-129.795006,34.76671119,0.0099,0.01,0.013326972
0.41277295,0.20807582,0.405415843,0.208591064,-80.19832722,10.54467526,0.0099,0.01,0.007380369
0.48258649,0.20906824,0.48523447,0.205182214,23.96455138,-36.45985751,0.0099,0.01,0.004702691
0.40539857,0.00106641,0.415716356,0.00110371,101.8796477,0.406885428,0.0099,0.01,0.010317854
0.41469458,0.33963016,0.42991652,0.337667894,150.2667904,-20.96484391,0.0099,0.01,0.015348161